
Warning from Imperial College ICT:  This message contains a link to a website sometimes used by "phishers" to steal credentials.  

Caution is advised when clicking on these links. To avoid credential theft, you should not enter your Imperial College username and password into any form linked from this message.

The original messages continues below.
id_ST SpeciesNb temperature Ks maxmu
1:15 1 15 0.00204937392984618 0.685164923956484
1:20 1 20 0.014234536811049 0.807079881561853
1:25 1 25 0.18725490620602 0.982416505583188
1:30 1 30 0.153441985237664 1.26506165828453
1:35 1 35 0.505194453869927 0.742547261367219
2:15 2 15 0.152178489898371 1.14076484767973
2:20 2 20 0.286216450715278 1.35389386921215
2:25 2 25 0.353443065587645 1.40519217146644
2:30 2 30 0.652649719359179 1.78619364698637
2:35 2 35 0.659862069899365 1.15402129605467
3:15 3 15 0.0731776304590932 0.573872012679693
3:20 3 20 0.170363410233775 1.05386877696524
3:25 3 25 0.566124787176125 2.19609622768312
3:30 3 30 0.722434939264291 2.1973214433212
3:35 3 35 0.348361147676529 2.35882638957901
4:15 4 15 0.0153035532497306 0.536830720941356
4:20 4 20 0.424658077430285 1.04411587091263
4:25 4 25 0.141018046713568 1.18054532977592
4:30 4 30 0.429045519467571 1.47863355049368
4:35 4 35 0.347020925417652 1.78783866147594
5:15 5 15 0.205159581540886 1.220879703377
5:20 5 20 0.670126770771069 1.36685466947451
5:25 5 25 0.18046618213309 1.15397458627018
5:30 5 30 1.10205869186166 1.08100816393104
5:35 5 35 0.84770408673956 1.36141020254832
6:15 6 15 0.153447684884745 0.558560637742147
6:20 6 20 3.30034288232562 1.54833016095457
6:25 6 25 6.87936503742759 2.13314959065027
6:30 6 30 0.931228251680236 1.08979389998596
6:35 6 35 0.0639915896483152 1.03265185477812
